# step,rank,entropy,components,curvature,nabla_t
145.000000,16.000000,2.155861,1.000000,5306874771345494782367213373046348653451391533056.000000,15140567594817550022853598569940615318407741440.000000
146.000000,16.000000,2.155835,1.000000,78019963458340337687180875119332670700943015149568.000000,222505816039682792852384735581691921822537220096.000000
147.000000,16.000000,2.155814,1.000000,1147026869404353615340058974445891135550723928883200.000000,3270184030511980293139186536561223544972628721664.000000
148.000000,16.000000,2.155796,1.000000,16863286221392617516066779031485284245114791036715008.000000,48064989976229256137692532302582382207846313885696.000000
149.000000,16.000000,2.155782,1.000000,247919941044354172780908666760744868855533093840224256.000000,706490996604660338700993963840227790175372335644672.000000
150.000000,16.000000,2.155770,1.000000,3644863103057768505734996852456791809719675754905600000.000000,10384884216933171615596585684007862885095856433790976.000000
151.000000,16.000000,2.155761,1.000000,53586007576889798039101977591888981489910763229064200192.000000,152654911548108736723334966188281960797975957253128192.000000
152.000000,16.000000,2.155753,1.000000,787810785898267348127042800309239571608179698689539833856.000000,2244044277841171778496833977306509771910577378461483008.000000
153.000000,16.000000,2.155746,1.000000,11582244334868234924647815329864230384722469059511910924288.000000,32988416650418843340840144649836541752989830252934987776.000000
154.000000,16.000000,2.155741,1.000000,170280042511502396362182580401314050805020222141676893765632.000000,484952505900536999807658309190141400007952066506278305792.000000
155.000000,16.000000,2.155737,1.000000,2503427180601485420543624403571488089642431543123417619234816.000000,7129239830297896422414012093923946530554574512873776611328.000000
156.000000,16.000000,2.155733,1.000000,36804958144471167635592591343433336021549032891382021008392192.000000,104807502589756292809269901735037151636338589718872512790528.000000
157.000000,16.000000,2.155731,1.000000,541100352691711067459559703386124999612059591008435354512392192.000000,1540798020111959532000280219964010141732157195413590418391040.000000
158.000000,16.000000,2.155728,1.000000,7955168940254136031168319034703973771990418885688421866293690368.000000,22651787308436379471608685704967825318602077805616618128015360.000000
159.000000,16.000000,2.155726,1.000000,116955615702680816576827321676029894772374498508514567947512971264.000000,333013650374504994467569989790827590848749759288250174279778304.000000
160.000000,16.000000,2.155725,1.000000,1719462939404926146038068847250627992039365689754479278101723348992.000000,4895802408175052678824058015520246180891280799602132841628958720.000000
161.000000,16.000000,2.155723,1.000000,25279275025648850663344016406023294866237491353369030447352451694592.000000,71975981225495973569748411159299363789441645078269677633378713600.000000
162.000000,16.000000,2.155722,1.000000,371651983539851132364783206573864832284269356115699573151498323886080.000000,1058163633300946053012426068562944327137309310526043491866372997120.000000
163.000000,16.000000,2.155722,1.000000,5463970324376601478493549323089239708475280112716285714403570101518336.000000,15556765848822955283898048917772303129039957845228098775334137102336.000000
164.000000,16.000000,2.155721,1.000000,80330457234941633292688836677218605951796814601461136666580434083119104.000000,228710875284256106881103034387594534452792744002185209371759977955328.000000
165.000000,16.000000,2.155720,1.000000,1181006180662134740878813587564658469798776189678769110451257776902504448.000000,3362444682232285256381503047493626636121140851042426631829029436522496.000000
166.000000,16.000000,2.155720,1.000000,17362974282987053293891511590244024732034835335179059471857263784822308864.000000,49433818597398299710870844151249314104268393607414949386086544014573568.000000
167.000000,16.000000,2.155719,1.000000,255267831997166668433199759490925608615550122563204368170444150358304358400.000000,726764534004447818458151539438719197656699831565660270335664601952157696.000000
168.000000,16.000000,2.155719,1.000000,3752909322816782675076933189476728448794834998489923698006489322003114229760.000000,10684734742637998714870135759594916132644254951619957102971564828768862208.000000
169.000000,16.000000,2.155719,1.000000,55174710535424378258093913798941354477694908158830266116522928159023379251200.000000,157084789489821571220990772681375305882277481984550709261428139506511380480.000000
170.000000,16.000000,2.155719,1.000000,811170343682695584913385127405525789769802034806772741944880333873111805984768.000000,2309430123005303189671936165447933413708603455629707453323851986964976762880.000000
171.000000,16.000000,2.155719,1.000000,11925705293704839610420582391079191677527542565635003359364955075503479643439104.000000,33952813280567162009431902003767829997250251119657656360569156933716239450112.000000
172.000000,16.000000,2.155718,1.000000,175329941250036838133649148891715849022980582208596440555118427127969321052012544.000000,499168194711843669583493837148333833840454619025794785302058820832567159160832.000000
173.000000,16.000000,2.155718,1.000000,2577674685551094870581094937411954878520913370940775555242038978008076044141068288.000000,7338684400897093742876241976276018732181484482596171378648847374368582200721408.000000
174.000000,16.000000,2.155718,1.000000,37896589697852416155245318351109514209409246767186483253567230261298753134951137280.000000,107892101310687291248627033570638892698170473086923690372874552024060737473216512.000000
175.000000,16.000000,2.155718,1.000000,557150027312367730266072708381145108591400162444482930706171605733953274071872438272.000000,1586211892728923939731989418165340806155675641350439163700881312657723033116475392.000000
176.000000,16.000000,2.155718,1.000000,8191136915052319675231953162937834113151275449436771358308268693840485677787726741504.000000,23320230662511704080505879059616088645721458200876121940156727754379536087436492800.000000
177.000000,16.000000,2.155718,1.000000,120424878410741632143123740494792031139242053687251279320012851210387750938310835437568.000000,342850316886614554995073236451257932406594345459705968337828139731859467705203556352.000000
178.000000,16.000000,2.155718,1.000000,1770468684591645777639878100095304693382483317141015849541810580263450778392874425778176.000000,5040531447566134248831033162836940002332644831956202890269525820899347611101993893888.000000
179.000000,16.000000,2.155718,1.000000,26029167850653398897082036659015331144010688828817675689640025431320469546292667249328128.000000,74105109104780533810284535933461646751814358449526108846276308763549873608941583204352.000000
180.000000,16.000000,2.155718,1.000000,382676963865633546384762951339129142453084035041347443814461337772608437556985971938951168.000000,1089481884702080853901440057510741766708703493539966285802475424456726138063042778234880.000000
181.000000,16.000000,2.155718,1.000000,5626059958533738033592041999736411320351867986715031082717623664931517805681514252311986176.000000,16017395841778547263389730128997217657951937996148677783609778417628741763522047611240448.000000
182.000000,16.000000,2.155718,1.000000,82713499121235253561016282466064194298036989925138847716999303634827809735182319783134625792.000000,235485315477193657825891583543496716797683246451949491464995768812472516958634324132888576.000000
