# step,rank,entropy,components,curvature,nabla_t
181.000000,16.000000,2.155718,1.000000,8483432398247923876950897962459751889115226476986201935647904253566510162572134325747187712.000000,24152293270879250613971110972529730186121181904972350230242888258196982565461581340082176.000000
182.000000,16.000000,2.155718,1.000000,124722166209188978912304107302717335493771439189882079732075581249475487678177550028989530112.000000,355083459845591612102369785918437417894916657606099390349360917353239199066996387411394560.000000
183.000000,16.000000,2.155718,1.000000,1833646808055765177700644521370582799021734522155014951126682829862868071560069685675848368128.000000,5220384686791754998219034285375252570539622140760948140199303383002443766147242503180386304.000000
184.000000,16.000000,2.155718,1.000000,26958003680606268741499944732919534359519801235485239395905848906033657632650978779138369781760.000000,76749325419638673172247622143845252105880694551299149095581783754526576442918299313444487168.000000
185.000000,16.000000,2.155718,1.000000,396332575651479399635708947613835795399065654259221661513294721935201046987403005548338958303232.000000,1128357249243095710085207035039450909250219184592594341860565561915498475654782479860779450368.000000
186.000000,16.000000,2.155718,1.000000,5826822800132587305603928662390889513661309586654945922266856586654524616879721348595026415845376.000000,16588941552591958602585352877128096590366767786329017521358713429881244807622721747329973485568.000000
187.000000,16.000000,2.155718,1.000000,85665085396985941255171787383879105637352683239509653438648218453771540280552115380085164745949184.000000,243888166224603092812696156066353642114131670826376406200757039043555328979912305862803051249664.000000
188.000000,16.000000,2.155718,1.000000,1259435391610096723135236567779616728867022038889514494084985536627039964296729859707239331778265088.000000,3585607748153599067803654355709856258715137058209190546371054845767726015298671083569931679170560.000000
189.000000,16.000000,2.155718,1.000000,18516032501719619195501630069936254192284791900159195805772516358097453134516387692934858356086013952.000000,52715074604787563608957056544974612498600329841486470552582286957024048550186782922101335783374848.000000
190.000000,16.000000,2.155718,1.000000,272219966073025764798883046817102820421551715278274501340837063032749765838452423386818062454370598912.000000,775009225122644037468803785645791523533751208113530217877944876134789263460709057490103439483469824.000000
191.000000,16.000000,2.155718,1.000000,4002137602464998043885913116736705978785211184964501172505399718638341201674567236782865852233303457792.000000,11394070900941445557285218191289195726388055545853787856519974308987141024334482333113441223333380096.000000
192.000000,16.000000,2.155718,1.000000,58838833973878435610572097992402083418136208920359083643284663275721763565317374463325325462163926548480.000000,167513943363289527311102783097918368450393154073974446846681636973601826032402607042180723957517254656.000000
